id,weeklong_id,user_id,player_code,type,status,poisoned,points,kills,starve_date
381,6,490,fb51c,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
382,6,174,3640c,normal,deceased,0,20,0,"2020-03-12 21:30:26"
383,6,234,121ea,oz,zombie,0,108,0,"2020-03-13 21:17:10"
384,6,90,956ad,normal,human,0,150,0,"2020-03-14 20:02:17"
385,6,596,f675d,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
386,6,597,d33c1,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
387,6,598,cac41,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
388,6,296,3fffc,normal,human,0,80,0,"2020-03-13 16:55:05"
389,6,599,e37a3,starved,deceased,0,20,0,"2020-03-13 13:46:59"
390,6,354,b0108,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
391,6,601,e6ae5,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
392,6,439,fb5da,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
393,6,602,e451a,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
394,6,279,c686e,starved,zombie,0,15,0,"2020-03-13 19:52:14"
395,6,603,fb086,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
396,6,604,757f1,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
397,6,605,70c82,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
398,6,606,6735e,starved,deceased,0,10,0,"2020-03-13 13:04:38"
399,6,607,7ee53,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
400,6,608,60432,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
401,6,132,f8d29,oz,zombie,0,74,1,"2020-03-13 23:59:29"
402,6,609,b4272,suicide,deceased,0,18,1,"2020-03-13 08:14:41"
403,6,610,c2397,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
404,6,611,02dd0,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
405,6,612,88ed5,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
406,6,613,7ac98,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
407,6,171,2cff5,normal,human,0,50,0,"2020-03-14 19:53:23"
408,6,614,414f4,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
409,6,615,b48e4,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
410,6,616,3aba8,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
411,6,617,f0303,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
412,6,618,fcc56,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
413,6,619,887e1,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
414,6,620,fb82f,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
415,6,101,d92f3,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
416,6,621,97687,normal,human,0,120,0,"2020-03-14 16:43:52"
417,6,83,f2fdc,suicide,zombie,0,22,0,"2020-03-13 21:17:09"
418,6,622,6621c,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
419,6,623,1a981,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
420,6,624,f96c7,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
421,6,625,601ad,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
422,6,408,39d32,normal,human,0,70,0,"2020-03-14 15:31:30"
423,6,257,843ef,starved,zombie,0,40,0,"2020-03-14 14:17:16"
424,6,530,ee230,inactive,deceased,0,0,0,"2020-03-11 18:12:01"
425,6,628,e6b2a,inactive,deceased,0,0,0,"2020-03-11 19:49:39"
